neighborhood,rent_min,rent_max,n_beds_min,n_beds_max,n_baths_min,n_baths_max,area_min,area_max,address_1,address_2
Studio-City_Los-Angeles_CA,9500.0,9500.0,4,4,3.0,3.0,3100.0,3100.0,12944 Woodbridge St,"Studio City, CA 91604"
Studio-City_Los-Angeles_CA,7000.0,7000.0,3,3,3.0,3.0,1915.0,1915.0,12045 Guerin St Unit 101,"Studio City, CA 91604"
Studio-City_Los-Angeles_CA,17225.0,17225.0,5,5,4.0,4.0,2563.0,2563.0,3870 Avenida Del Sol,"Studio City, CA 91604"
Studio-City_Los-Angeles_CA,7250.0,7250.0,3,3,2.0,2.0,2000.0,2000.0,4370 Farmdale Ave,"Studio City, CA 91604"
Studio-City_Los-Angeles_CA,31500.0,31500.0,5,5,4.0,4.0,3148.0,3148.0,11308 Dona Teresa Dr,"Studio City, CA 91604"
Studio-City_Los-Angeles_CA,24600.0,24600.0,3,3,4.0,4.0,3707.0,3707.0,3876 Eureka Dr,"Studio City, CA 91604"
Studio-City_Los-Angeles_CA,7500.0,7500.0,3,3,2.0,2.0,1677.0,1677.0,12021 Guerin St Ph 1,"Studio City, CA 91604"
Studio-City_Los-Angeles_CA,20000.0,20000.0,5,5,5.0,5.0,4736.0,4736.0,12439 Kling St,"Studio City, CA 91604"
Studio-City_Los-Angeles_CA,6000.0,6000.0,3,3,2.0,2.0,1400.0,1400.0,4332 Whitsett Ave,"Studio City, CA 91604"
Studio-City_Los-Angeles_CA,27000.0,27000.0,4,4,5.0,5.0,2887.0,2887.0,10901 Terryview Dr,"Studio City, CA 91604"
Mid-Wilshire_Los-Angeles_CA,3000.0,3000.0,1,1,1.0,1.0,800.0,800.0,5403 West 8th Street Apartments,"5403 W 8th St, Los Angeles, CA 90036"
Mid-Wilshire_Los-Angeles_CA,4069.0,4244.0,Studio,2,1.0,2.0,486.0,1270.0,The Preston Miracle Mile,"630 Masselin Ave, Los Angeles, CA 90036"
Mid-Wilshire_Los-Angeles_CA,3130.0,8622.0,1,3,1.0,3.0,720.0,2100.0,Palazzo West,"6220 W 3rd St, Los Angeles, CA 90036"
Mid-Wilshire_Los-Angeles_CA,4505.0,4505.0,3,3,3.0,3.0,1197.0,1197.0,Boulevard on Wilshire,"5353 Wilshire Blvd, Los Angeles, CA 90036"
Mid-Wilshire_Los-Angeles_CA,1750.0,1850.0,Studio,1,1.0,1.0,300.0,375.0,Belcrest Apartments,"637 Hauser Blvd, Los Angeles, CA 90036"
Mid-Wilshire_Los-Angeles_CA,3200.0,3200.0,3,3,2.0,2.0,1300.0,1300.0,1323 S Ridgeley Dr Apt 2,"Los Angeles, CA 90019"
Mid-Wilshire_Los-Angeles_CA,2549.0,2549.0,1,1,1.0,1.0,800.0,800.0,6200 W 3rd St Unit 3507A,"Los Angeles, CA 90036"
Mid-Wilshire_Los-Angeles_CA,3100.0,3100.0,2,2,2.0,2.0,1500.0,1500.0,1183 Crenshaw Blvd Apt 201,"Los Angeles, CA 90019"
Mid-Wilshire_Los-Angeles_CA,13900.0,13900.0,5,5,3.0,3.0,4112.0,4112.0,96 Fremont Pl,"Los Angeles, CA 90005"
Mid-Wilshire_Los-Angeles_CA,2695.0,2695.0,2,2,2.0,2.0,900.0,900.0,618 S. Detroit,"618 S Detroit St, Los Angeles, CA 90036"
Mid-Wilshire_Los-Angeles_CA,5500.0,5500.0,3,3,2.0,2.0,1705.0,1705.0,1138 S Stanley Ave,"Los Angeles, CA 90019"
Mid-Wilshire_Los-Angeles_CA,12500.0,12500.0,4,4,3.0,3.0,3237.0,3237.0,908 S Dunsmuir Ave,"Los Angeles, CA 90036"
Mid-Wilshire_Los-Angeles_CA,2641.0,3264.0,1,2,1.0,2.0,702.0,1148.0,Museum Terrace,"600 S Curson Ave, Los Angeles, CA 90036"
Mid-Wilshire_Los-Angeles_CA,2395.0,2395.0,1,2,1.0,1.0,,,1179 Crenshaw Blvd,"1179 Crenshaw Blvd, Los Angeles, CA 90019"
Mid-Wilshire_Los-Angeles_CA,1769.0,2446.0,Studio,1,1.0,1.0,350.0,585.0,Villa Vicente,"5351 San Vicente Blvd, Los Angeles, CA 90019"
Mid-Wilshire_Los-Angeles_CA,2748.0,4510.0,1,2,1.0,2.0,662.0,1300.0,Villas at Park La Brea Apartments,"5555 W 6th St, Los Angeles, CA 90036"
Mid-Wilshire_Los-Angeles_CA,2695.0,4970.0,Studio,2,1.0,2.0,518.0,1486.0,Vinz on Fairfax,"950 S Fairfax Ave, Los Angeles, CA 90036"
Mid-Wilshire_Los-Angeles_CA,3325.0,4250.0,1,2,1.0,2.0,416.0,818.0,Le Noble,"5774 W 3rd St, Los Angeles, CA 90036"
Mid-Wilshire_Los-Angeles_CA,3850.0,3850.0,2,2,1.0,1.0,1479.0,1479.0,5166 Packard St,"Los Angeles, CA 90019"
Mid-Wilshire_Los-Angeles_CA,2360.0,6380.0,Studio,3,1.0,3.0,530.0,2015.0,The Mansfield at Miracle Mile,"5100 Wilshire Blvd, Los Angeles, CA 90036"
Mid-Wilshire_Los-Angeles_CA,3325.0,4250.0,1,2,1.0,2.0,510.0,773.0,Le Noble,"5768 W 3rd St, Los Angeles, CA 90036"
Mid-Wilshire_Los-Angeles_CA,3299.0,5199.0,1,2,1.0,2.0,988.0,2019.0,mResidences Miracle Mile,"5659 W 8th St, Los Angeles, CA 90036"
Mid-Wilshire_Los-Angeles_CA,2000.0,2000.0,Studio,Studio,1.0,1.0,760.0,760.0,1053 S Stanley Ave Unit 2,"Los Angeles, CA 90019"
Mid-Wilshire_Los-Angeles_CA,2800.0,2800.0,2,2,1.0,1.0,800.0,800.0,1271 S Sycamore Ave,"Los Angeles, CA 90019"
Mid-Wilshire_Los-Angeles_CA,3069.0,3069.0,2,2,2.0,2.0,794.0,794.0,850 S LA Brea Ave Apt 402,"Los Angeles, CA 90036"
Mid-Wilshire_Los-Angeles_CA,2289.0,3033.0,1,2,1.0,2.0,774.0,1027.0,Essex Properties at Miracle Mile,"400 S Detroit St, Los Angeles, CA 90036"
Mid-Wilshire_Los-Angeles_CA,2167.0,3782.0,Studio,2,1.0,2.0,575.0,1358.0,Wilshire La Brea,"5200 Wilshire Blvd, Los Angeles, CA 90036"
Mid-Wilshire_Los-Angeles_CA,1998.0,1998.0,1,1,1.0,1.0,750.0,750.0,1118 S Spaulding Ave Apt 8,"Los Angeles, CA 90019"
Mid-Wilshire_Los-Angeles_CA,2077.0,2917.0,Studio,2,1.0,2.0,600.0,940.0,Tiffany Court,"616 Masselin Ave, Los Angeles, CA 90036"
Mid-Wilshire_Los-Angeles_CA,2800.0,2800.0,2,2,1.0,1.0,1100.0,1100.0,5113 Edgewood Pl,"Los Angeles, CA 90019"
