company,ticker,link,type
CryoLife,CRY,https://www.wikipedia.org/wiki/CryoLife,public
CSS Industries,CSS,https://www.wikipedia.org/wiki/CSS_Industries,public
CST Brands,CST,https://www.wikipedia.org/wiki/CST_Brands,
CSX Corporation,CSX,https://www.wikipedia.org/wiki/CSX_Corporation,public
CubeSmart,CUBE,https://www.wikipedia.org/wiki/CubeSmart,public
Cubic Corporation,CUB,https://www.wikipedia.org/wiki/Cubic_Corporation,
Frost Bank,CFR,https://www.wikipedia.org/wiki/Frost_Bank,public
Cummins,CMI,https://www.wikipedia.org/wiki/Cummins,
Curtiss-Wright,CW,https://www.wikipedia.org/wiki/Curtiss-Wright,public
Cvent,CVT,https://www.wikipedia.org/wiki/Cvent,
CVR Partners,UAN,https://www.wikipedia.org/w/index.php?title=CVR_Partners&action=edit&redlink=1,
CVS Health,CVS,https://www.wikipedia.org/wiki/CVS_Health,public
Cytec Industries,CYT,https://www.wikipedia.org/wiki/Cytec_Industries,
D. R. Horton,DHI,https://www.wikipedia.org/wiki/D._R._Horton,public
Dun & Bradstreet,DNB,https://www.wikipedia.org/wiki/Dun_%26_Bradstreet,public
Dana Holding Corporation,DAN,https://www.wikipedia.org/wiki/Dana_Holding_Corporation,public
Danaher Corporation,DHR,https://www.wikipedia.org/wiki/Danaher_Corporation,public
Danaos Corporation,DAC,https://www.wikipedia.org/w/index.php?title=Danaos_Corporation&action=edit&redlink=1,
Darden Restaurants,DRI,https://www.wikipedia.org/wiki/Darden_Restaurants,public
DaVita Inc.,DVA,https://www.wikipedia.org/wiki/DaVita_Inc.,public
DCP Midstream Partners,DPM,https://www.wikipedia.org/wiki/DCP_Midstream_Partners,
Deckers Outdoor Corporation,DECK,https://www.wikipedia.org/wiki/Deckers_Outdoor_Corporation,public
John Deere,DE,https://www.wikipedia.org/wiki/John_Deere,public
Delek,DK,https://www.wikipedia.org/wiki/Delek,public
Delphi Automotive,DLPH,https://www.wikipedia.org/wiki/Delphi_Automotive,
Delta Air Lines,DAL,https://www.wikipedia.org/wiki/Delta_Air_Lines,
Deluxe Corporation,DLX,https://www.wikipedia.org/wiki/Deluxe_Corporation,public
Demand Media,DMD,https://www.wikipedia.org/wiki/Demand_Media,
Demandware,DWRE,https://www.wikipedia.org/wiki/Demandware,
Deutsche Bank,DB,https://www.wikipedia.org/wiki/Deutsche_Bank,public
Devon Energy,DVN,https://www.wikipedia.org/wiki/Devon_Energy,public
DeVry Education Group,DV,https://www.wikipedia.org/wiki/DeVry_Education_Group,public
Diageo,DEO,https://www.wikipedia.org/wiki/Diageo,
Diamond Offshore Drilling,DO,https://www.wikipedia.org/wiki/Diamond_Offshore_Drilling,public
Diamond Resorts International,DRII,https://www.wikipedia.org/wiki/Diamond_Resorts_International,
Dice.com,DHX,https://www.wikipedia.org/wiki/Dice.com,
